name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Krafth,NEW,DEF,4.3,Injured,561,21,0,1.9,0.1
Carroll,NEW,FWD,5.4,Doubtful,507,25,0,1.9,0.1
Matthew Longstaff,NEW,MID,4.5,Available,544,25,2,3.6,0.2
Gayle,NEW,FWD,5,Injured,178,12,0,1.3,0
Elliot,NEW,GKP,4,Available,0,0,0,0,0.1
Allan,NEW,MID,4.5,Available,0,0,0,0,0
Watts,NEW,DEF,4,NotAvail,0,0,0,0,0
Gibson,NEW,DEF,4,Available,0,0,0,0,0
Bentaleb,NEW,MID,5,Available,0,0,0,0,0
Lazaro,NEW,MID,5.5,Available,0,0,0,0,0
Klose,NOR,DEF,4.3,Injured,0,0,0,0,0
Godfrey,NOR,DEF,4.4,Suspended,1564,24,0,1.3,0.1
Aarons,NOR,DEF,4.3,Available,1980,37,1,1.7,1.1
Zimmermann,NOR,DEF,4.4,Available,1115,27,1,2.1,0
Lewis,NOR,DEF,4.4,Available,1162,21,0,1.4,0.2
Hanley,NOR,DEF,4,Available,811,7,0,0.7,2
Pukki,NOR,FWD,6.5,Available,2041,117,21,5.1,13.4
Srbeny,NOR,FWD,5.2,NotAvail,41,13,1,1.6,0
Krul,NOR,GKP,4.5,Available,1980,66,7,3,2.2
McGovern,NOR,GKP,4,Available,158,11,2,5.5,6.8
Vrancic,NOR,MID,6.2,Available,352,18,1,1.8,0.1
Buendía,NOR,MID,6,Doubtful,1772,73,10,3.2,0.8
Hernández,NOR,MID,5.3,Available,752,32,0,2,0.1
Stiepermann,NOR,MID,5.1,Available,919,24,0,1.4,0.1
McLean,NOR,MID,4.9,Available,1838,50,0,2.2,0.2
Cantwell,NOR,MID,5,Doubtful,1716,90,10,3.8,23
Leitner,NOR,MID,4.3,Available,683,16,0,1.8,0.2
Tettey,NOR,MID,4.5,Available,1369,43,3,2.4,0.3
Trybull,NOR,MID,4.4,Available,1022,25,0,1.8,0.6
Drmic,NOR,FWD,5.3,Available,124,14,0,1.4,0.1
Roberts,NOR,MID,5.1,NotAvail,24,3,0,1,0
Fahrmann,NOR,GKP,4.4,Available,21,1,0,1,0.3
Byram,NOR,DEF,4.4,Available,1176,25,2,1.7,0.1
Heise,NOR,DEF,3.9,NotAvail,0,0,0,0,0.7
Amadou,NOR,MID,4.5,Doubtful,756,18,0,1.6,0.1
Idah,NOR,FWD,4.4,Available,65,3,0,1.5,0.1
Mair,NOR,GKP,4,Available,0,0,0,0,0.1
Famewo,NOR,DEF,4,NotAvail,0,0,0,0,0.1
Duda,NOR,MID,5,Available,167,8,0,4,0.1
Rupp,NOR,MID,4.5,Available,86,3,0,1.5,0
Mousset,SHU,FWD,4.7,Available,967,67,9,3.2,2.7
Stevens,SHU,DEF,5.1,Available,2160,90,8,3.8,2.3
Freeman,SHU,DEF,4.2,Available,0,0,0,0,0.1
O'Connell,SHU,DEF,4.6,Available,2160,79,5,3.3,2.6
Baldock,SHU,DEF,5.1,Available,2160,100,7,4.2,11
Egan,SHU,DEF,4.5,Available,2058,74,3,3.2,1.2
Stearman,SHU,DEF,3.9,NotAvail,0,0,0,0,2.3
Lundstram,SHU,DEF,5.1,Available,1915,107,12,4.7,46.7
Sharp,SHU,FWD,5.6,Available,381,18,3,1.3,0.3
Eastwood,SHU,GKP,4.3,Available,0,0,0,0,0.1
Duffy,SHU,MID,5.2,NotAvail,0,0,0,0,0
Fleck,SHU,MID,5,Available,1828,85,13,4,5.3
Norwood,SHU,MID,4.9,Available,2013,62,4,2.6,0.3
McGoldrick,SHU,FWD,5.4,Doubtful,1314,40,3,2.1,0.2
Basham,SHU,DEF,4.5,Available,2072,72,2,3,0.8
Moore,SHU,GKP,4.3,Available,90,1,0,1,0.1
Freeman,SHU,MID,5.1,Available,322,11,0,1.2,0.1
Jagielka,SHU,DEF,4.2,Available,128,4,0,1,0.4
Callum Robinson,SHU,MID,5,NotAvail,669,33,1,2.1,0.3
Morrison,SHU,MID,4.6,Available,12,1,0,1,0.1
Henderson,SHU,GKP,5,Available,2070,101,8,4.4,12.4
Osborn,SHU,MID,4.7,Available,51,4,0,1,0
McBurnie,SHU,FWD,5.7,Available,1069,50,4,2.3,0.2
Verrips,SHU,GKP,4.4,Available,0,0,0,0,0
Bešić,SHU,MID,4.4,Available,243,9,0,1,0.1
Clarke,SHU,FWD,4.5,Available,13,1,0,1,0.1
Rodwell,SHU,MID,4.5,Available,0,0,0,0,0
Jack Robinson,SHU,DEF,4,Available,0,0,0,0,0
Vestergaard,SOU,DEF,4.6,Doubtful,1023,38,6,3.2,2.2
Bertrand,SOU,DEF,4.8,Available,1572,39,0,2.1,0.7
Valery,SOU,DEF,4.6,Injured,554,9,0,1.1,0.1
Bednarek,SOU,DEF,4.4,Available,2067,53,3,2.3,0.7
Stephens,SOU,DEF,4.4,Available,1377,56,6,3.5,2.5
Yoshida,SOU,DEF,4.2,Available,558,10,1,1.2,0.3
Ramsay,SOU,DEF,3.9,Available,0,0,0,0,1.8
Austin,SOU,FWD,6,NotAvail,0,0,0,0,0
Ings,SOU,FWD,7,Available,1636,126,27,5.2,29.1
Obafemi,SOU,FWD,4.9,Available,353,19,2,1.9,0.2
Long,SOU,FWD,4.6,Doubtful,739,36,1,2.6,1.9
Gallagher,SOU,FWD,4.5,NotAvail,0,0,0,0,0
Forster,SOU,GKP,4.3,NotAvail,0,0,0,0,0.3
McCarthy,SOU,GKP,4.4,Available,1260,44,1,3.1,3.2
Gunn,SOU,GKP,4.3,Available,900,29,3,2.9,1.5
Redmond,SOU,MID,6.2,Available,1865,67,5,3,0.8
Ward-Prowse,SOU,MID,5.8,Available,2160,80,6,3.3,1.7
Elyounoussi,SOU,MID,5.3,NotAvail,0,0,0,0,0
Armstrong,SOU,MID,5.2,Doubtful,864,45,4,2.5,0.1
Lemina,SOU,MID,4.7,NotAvail,0,0,0,0,0.1
Højbjerg,SOU,MID,4.8,Available,1997,55,1,2.4,0.4
Johnson,SOU,MID,4.4,NotAvail,0,0,0,0,0
Slattery,SOU,MID,4.4,Available,0,0,0,0,0.3
Oriol Romeu,SOU,MID,4.3,Available,1196,32,0,1.7,1.6
Walker-Peters,SOU,DEF,4.4,Available,241,5,0,1.7,0.5
Adams,SOU,FWD,5.3,Available,664,32,0,1.8,0.3
Djenepo,SOU,MID,5.2,Available,671,33,3,2.4,0.1
Hoedt,SOU,DEF,4.3,NotAvail,0,0,0,0,0
Cédric,SOU,DEF,4.8,Injured,1306,43,3,2.7,0.3
Boufal,SOU,MID,5.5,Available,569,28,0,1.9,0.1
Danso,SOU,DEF,4.2,Available,275,9,0,1.5,0
N'Lundulu,SOU,FWD,4.5,Available,0,0,0,0,0.1
Lewis,SOU,GKP,4,Available,0,0,0,0,0.2
Smallbone,SOU,MID,4.5,Available,0,0,0,0,0
Davies,TOT,DEF,5.3,Injured,360,8,0,1.3,0.1
Vertonghen,TOT,DEF,5.2,Available,1362,48,4,3,1.8
Alderweireld,TOT,DEF,5.3,Available,2070,53,2,2.3,4.9
Rose,TOT,DEF,5.3,Available,891,17,0,1.4,1.3
Sánchez,TOT,DEF,5.3,Available,1440,25,0,1.5,0.9
Trippier,TOT,DEF,5.5,NotAvail,0,0,0,0,0.1
Foyth,TOT,DEF,4.9,Available,66,3,0,0.8,0
Aurier,TOT,DEF,5,Available,1624,69,11,3.6,6
Kane,TOT,FWD,10.8,Injured,1778,104,16,5.2,9
Janssen,TOT,FWD,4.5,NotAvail,0,0,0,0,0.1
Lloris,TOT,GKP,5.3,Available,638,25,0,3.1,3.2
Gazzaniga,TOT,GKP,4.5,Available,1522,57,6,3.4,3.8
Son,TOT,MID,9.9,Available,1564,101,10,5.3,8.2
Eriksen,TOT,MID,8.6,NotAvail,1090,48,6,2.4,2.6
Alli,TOT,MID,8.5,Available,1415,93,12,5.5,6.3
Lucas Moura,TOT,MID,7.1,Available,1277,63,1,2.9,5
Lamela,TOT,MID,5.7,Available,805,41,2,2.9,1.2
Winks,TOT,MID,5.2,Available,1229,28,0,1.5,0.2
Wanyama,TOT,MID,4.8,Available,24,1,0,0.5,0.1
Sissoko,TOT,MID,4.8,Injured,1688,49,0,2.5,1.3
Dier,TOT,MID,4.9,Available,645,16,0,1.6,0.2
Amos,TOT,MID,4.5,NotAvail,0,0,0,0,0
Skipp,TOT,MID,4.3,Available,12,3,0,1,0.6
Ndombele,TOT,MID,5.8,Available,797,36,2,2.4,2.3
Parrott,TOT,FWD,4.3,Available,5,1,0,1,0.8
Lo Celso,TOT,MID,7.3,Available,522,20,0,1.4,0.3
